P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xbirref	Xmaculatus	Xalvarezi	-22.0101	1	2.32711	2.44822e+06	683647	582446	101129	193004	14498.3	122099	5533.38	158871	1.47568e+06	311941	5603.12	241270	9417.88	4046.38
Xmaculatus	Xbirref	Xalvarezi	34.5621	0	0.733583	2.44822e+06	683647	14498.3	122099	5533.38	582446	101129	193004	158871	1.47568e+06	311941	5603.12	9417.88	241270	4046.38
Xmaculatus	Xbirref	Xandersi	17.1041	0	-0.0325052	3.04322e+06	128910	16774.9	243046	3087.75	899510	37642.6	60204	31176.1	1.97796e+06	58140.5	4906.75	10714.2	483529	2743
Xbirref	Xandersi	Xmaculatus	17.6426	0	0.970383	3.04322e+06	899510	128910	37642.6	60204	16774.9	31176.1	4906.75	243046	1.97796e+06	483529	3087.75	58140.5	10714.2	2743
Xmaculatus	Xbirref	Xbirchmanni_GARC	9.83617	0	-0.00815865	3.12923e+06	58973.2	5288.81	304559	1289.62	1.00343e+06	15205.7	26944.4	12864.1	2.07828e+06	24355.1	1577.88	3213.88	592532	1024.88
Xbirref	Xbirchmanni_GARC	Xmaculatus	9.91577	0	0.992036	3.12923e+06	1.00343e+06	58973.2	15205.7	26944.4	5288.81	12864.1	1577.88	304559	2.07828e+06	592532	1289.62	24355.1	3213.88	1024.88
Xmaculatus	Xbirref	Xclemenciae_F2	22.1664	0	-0.0362348	3.07025e+06	106631	16818	257127	3216.75	923183	33629.9	54796.4	25814.8	2.01061e+06	45098.8	5348.5	10336.2	511806	2906.75
Xbirref	Xclemenciae_F2	Xmaculatus	22.9416	0	0.967318	3.07025e+06	923183	106631	33629.9	54796.4	16818	25814.8	5348.5	257127	2.01061e+06	511806	3216.75	45098.8	10336.2	2906.75
Xmaculatus	Xbirref	Xcontinens	12.4683	0	-0.0146972	3.10516e+06	75530	11447.8	274915	2241.5	961655	22891.3	38504.9	19240.9	2.03829e+06	35440.6	3519.5	6866	540885	2012.25
Xbirref	Xcontinens	Xmaculatus	12.6489	0	0.985924	3.10516e+06	961655	75530	22891.3	38504.9	11447.8	19240.9	3519.5	274915	2.03829e+06	540885	2241.5	35440.6	6866	2012.25
Xmaculatus	Xbirref	Xcortezi	10.5317	0	-0.0146567	3.0694e+06	107777	9117.75	266879	2072.5	933909	28101.6	50506.4	24652.4	2.01058e+06	47202.6	2836.75	5488.25	522138	1749.5
Xbirref	Xcortezi	Xmaculatus	10.6839	0	0.985961	3.0694e+06	933909	107777	28101.6	50506.4	9117.75	24652.4	2836.75	266879	2.01058e+06	522138	2072.5	47202.6	5488.25	1749.5
Xmaculatus	Xbirref	Xcouchianus	13.1863	0	-0.0327332	2.97351e+06	194060	16120.7	229608	3511.88	852372	48544.9	82771.2	42805.9	1.92914e+06	81662.9	4996.88	10565.4	455973	3021.88
Xbirref	Xcouchianus	Xmaculatus	13.6043	0	0.970194	2.97351e+06	852372	194060	48544.9	82771.2	16120.7	42805.9	4996.88	229608	1.92914e+06	455973	3511.88	81662.9	10565.4	3021.88
Xmaculatus	Xbirref	Xevelynae	24.9861	0	-0.0403057	3.06899e+06	108987	16659.9	260618	3172.5	928852	33791.2	52254.9	25003	2.01415e+06	45657.2	5027.25	10842	518243	2863.5
Xbirref	Xevelynae	Xmaculatus	25.9541	0	0.964042	3.06899e+06	928852	108987	33791.2	52254.9	16659.9	25003	5027.25	260618	2.01415e+06	518243	3172.5	45657.2	10842	2863.5
Xmaculatus	Xbirref	Xgordoni	8.79273	0	0.0288746	2.84222e+06	318388	15707.2	208556	4084.75	792039	61413.1	109343	65788.1	1.83896e+06	127960	5083.5	10521.8	413834	3330.75
Xbirref	Xgordoni	Xmaculatus	-8.5313	1	1.03161	2.84222e+06	792039	318388	61413.1	109343	15707.2	65788.1	5083.5	208556	1.83896e+06	413834	4084.75	127960	10521.8	3330.75
Xmaculatus	Xbirref	Xhellerii	2.95411	0.00156794	0.00675404	2.99223e+06	174638	16725	226810	3593	861436	43959.5	76180	45202.9	1.92411e+06	82183.8	5671.25	10241.2	451266	3151.25
Xbirref	Xhellerii	Xmaculatus	-2.93402	0.998327	1.00689	2.99223e+06	861436	174638	43959.5	76180	16725	45202.9	5671.25	226810	1.92411e+06	451266	3593	82183.8	10241.2	3151.25
Xmaculatus	Xbirref	Xmalinche_CHIC2	3.13763	0.000851657	0.00373386	3.07624e+06	105785	8216.81	282408	1976.88	961774	23509.6	41765.2	24479.9	2.02563e+06	46852.1	2665.62	5034.88	551912	1664.88
Xbirref	Xmalinche_CHIC2	Xmaculatus	-3.12587	0.999114	1.00378	3.07624e+06	961774	105785	23509.6	41765.2	8216.81	24479.9	2665.62	282408	2.02563e+06	551912	1976.88	46852.1	5034.88	1664.88
Xmaculatus	Xbirref	Xmayae	1.66108	0.0483484	-0.001335	3.16228e+06	30527.1	18117.3	303455	3379.12	1.03199e+06	13696.4	13712.8	13310.1	2.09914e+06	16866.6	6456.12	11273.6	604988	3260.62
Xbirref	Xmayae	Xmaculatus	1.6633	0.0481264	0.99867	3.16228e+06	1.03199e+06	30527.1	13696.4	13712.8	18117.3	13310.1	6456.12	303455	2.09914e+06	604988	3379.12	16866.6	11273.6	3260.62
Xmaculatus	Xbirref	Xmeyeri	25.2673	0	-0.0396805	3.07462e+06	103776	16626.7	261878	3223.38	932852	32828.6	50496.1	24086.6	2.0181e+06	43904.2	5080.62	10869.6	520662	2919.62
Xbirref	Xmeyeri	Xmaculatus	26.2317	0	0.964541	3.07462e+06	932852	103776	32828.6	50496.1	16626.7	24086.6	5080.62	261878	2.0181e+06	520662	3223.38	43904.2	10869.6	2919.62
Xmaculatus	Xbirref	Xmilleri	11.965	0	0.0537953	2.76736e+06	386396	15973.6	187374	4447.25	735852	73597.9	132793	80066.5	1.77547e+06	156622	5254.75	10823.8	372063	3523.75
Xbirref	Xmilleri	Xmaculatus	-11.2848	1	1.06415	2.76736e+06	735852	386396	73597.9	132793	15973.6	80066.5	5254.75	187374	1.77547e+06	372063	4447.25	156622	10823.8	3523.75
Xmaculatus	Xbirref	Xmonticolus	41.109	0	0.273858	2.59945e+06	542756	14794.5	153325	5035.5	648304	89708.6	169590	113701	1.64116e+06	222658	5377	9678.5	303514	3816.5
Xbirref	Xmonticolus	Xmaculatus	-25.6051	1	2.53485	2.59945e+06	648304	542756	89708.6	169590	14794.5	113701	5377	153325	1.64116e+06	303514	5035.5	222658	9678.5	3816.5
Xmaculatus	Xbirref	Xmontezumae	5.17771	1.12524e-07	-0.0093604	3.02379e+06	147171	10415.8	246443	2540.5	891883	36108.3	65855.9	34157.8	1.96381e+06	65792.2	3369.5	6374	483002	2128.25
Xbirref	Xmontezumae	Xmaculatus	5.22572	8.69069e-08	0.990895	3.02379e+06	891883	147171	36108.3	65855.9	10415.8	34157.8	3369.5	246443	1.96381e+06	483002	2540.5	65792.2	6374	2128.25
Xmaculatus	Xbirref	Xmultilineatus	9.49832	0	-0.0131595	3.06986e+06	108623	11335.2	268154	2506.62	939185	28106.8	49151.8	24988.9	2.01438e+06	46988.8	3660.62	6906.38	527318	2181.62
Xbirref	Xmultilineatus	Xmaculatus	9.62169	0	0.98734	3.06986e+06	939185	108623	28106.8	49151.8	11335.2	24988.9	3660.62	268154	2.01438e+06	527318	2506.62	46988.8	6906.38	2181.62
Xmaculatus	Xbirref	Xnezahuacoyotl	0.948851	0.171348	-0.00190461	2.9737e+06	197201	10499.8	245790	2950.62	874458	41849.4	77380.4	41461.8	1.94163e+06	80512	3563.88	6609.88	481986	2395.38
Xbirref	Xnezahuacoyotl	Xmaculatus	0.950654	0.17089	0.998106	2.9737e+06	874458	197201	41849.4	77380.4	10499.8	41461.8	3563.88	245790	1.94163e+06	481986	2950.62	80512	6609.88	2395.38
Xmaculatus	Xbirref	Xnigrensis	50.3304	0	0.154912	2.6989e+06	460939	10488.2	211446	4115.38	771515	64982.2	124000	91830.4	1.75729e+06	181291	4139.38	6929.38	414108	2996.88
Xbirref	Xnigrensis	Xmaculatus	-41.1044	1	1.28941	2.6989e+06	771515	460939	64982.2	124000	10488.2	91830.4	4139.38	211446	1.75729e+06	414108	4115.38	181291	6929.38	2996.88
Xmaculatus	Xbirref	Xpygmaeus	12.8314	0	-0.0124371	3.12992e+06	54732	11411.6	286921	2161.75	988227	17981.2	28734.6	14677.4	2.06395e+06	26233.1	3503.75	6799.75	564800	1961
Xbirref	Xpygmaeus	Xmaculatus	12.989	0	0.98801	3.12992e+06	988227	54732	17981.2	28734.6	11411.6	14677.4	3503.75	286921	2.06395e+06	564800	2161.75	26233.1	6799.75	1961
Xmaculatus	Xbirref	Xsignum	8.61235	0	-0.0105121	3.1152e+06	67458.9	17348.6	273841	3309.75	969638	23834.1	35474.8	21233.4	2.04415e+06	33481.8	5962.25	10541.8	545503	3066.25
Xbirref	Xsignum	Xmaculatus	8.70194	0	0.989809	3.1152e+06	969638	67458.9	23834.1	35474.8	17348.6	21233.4	5962.25	273841	2.04415e+06	545503	3309.75	33481.8	10541.8	3066.25
Xmaculatus	Xbirref	Xvariatus	1.64141	0.0503565	0.00340101	3.00614e+06	163537	16230.6	235965	3358	882020	40917	67064.8	41582.6	1.93921e+06	79130.2	4960.25	10504.5	468813	2905.25
Xbirref	Xvariatus	Xmaculatus	-1.63581	0.94906	1.00344	3.00614e+06	882020	163537	40917	67064.8	16230.6	41582.6	4960.25	235965	1.93921e+06	468813	3358	79130.2	10504.5	2905.25
Xbirref	Xmaculatus	Xxiphidium	-8.24008	1	1.12367	2.35005e+06	779661	547481	110771	211852	13146	116674	5835.5	170312	1.43144e+06	338268	5138.5	228983	9154	4111
Xmaculatus	Xbirref	Xxiphidium	9.14695	0	0.909799	2.35005e+06	779661	13146	116674	5835.5	547481	110771	211852	170312	1.43144e+06	338268	5138.5	9154	228983	4111
Xalvarezi	Xbirref	Xandersi	19.1962	0	-0.0303375	2.94456e+06	125713	16050.5	278433	3321.5	997514	36708.9	62389.8	29591.5	1.87345e+06	54845.5	5270.25	9678.75	550706	2948.75
Xbirref	Xandersi	Xalvarezi	19.7614	0	0.972193	2.94456e+06	997514	125713	36708.9	62389.8	16050.5	29591.5	5270.25	278433	1.87345e+06	550706	3321.5	54845.5	9678.75	2948.75
Xalvarezi	Xbirref	Xbirchmanni_GARC	26.1919	0	-0.0191944	3.03277e+06	53313.7	5214.56	338651	1353.38	1.09898e+06	16116.6	28933.5	10042.4	1.97651e+06	18741.8	1714.38	3178.12	657448	1091.38
Xbirref	Xbirchmanni_GARC	Xalvarezi	26.6851	0	0.981851	3.03277e+06	1.09898e+06	53313.7	16116.6	28933.5	5214.56	10042.4	1714.38	338651	1.97651e+06	657448	1353.38	18741.8	3178.12	1091.38
Xalvarezi	Xbirref	Xclemenciae_F2	35.7596	0	-0.0518563	2.9729e+06	102280	18049.2	290965	3490.75	1.02003e+06	35242.6	56036.8	22635.6	1.90915e+06	40797.9	5798.5	11124.8	577931	3149.25
Xbirref	Xclemenciae_F2	Xalvarezi	37.5225	0	0.955125	2.9729e+06	1.02003e+06	102280	35242.6	56036.8	18049.2	22635.6	5798.5	290965	1.90915e+06	577931	3490.75	40797.9	11124.8	3149.25
Xalvarezi	Xbirref	Xcontinens	18.3562	0	-0.0187059	3.00529e+06	73706.4	11346	310173	2454	1.06103e+06	22820.1	38927.1	17543.6	1.93424e+06	32265.1	3846	6711	608197	2185
Xbirref	Xcontinens	Xalvarezi	18.6932	0	0.982288	3.00529e+06	1.06103e+06	73706.4	22820.1	38927.1	11346	17543.6	3846	310173	1.93424e+06	608197	2454	32265.1	6711	2185
Xalvarezi	Xbirref	Xcortezi	29.7294	0	-0.0370154	2.97648e+06	98005.1	9029.81	299233	2182.12	1.02534e+06	29717.2	54196.8	20097.1	1.91225e+06	38179.5	3014.12	5380.12	583649	1839.38
Xbirref	Xcortezi	Xalvarezi	30.7906	0	0.966684	2.97648e+06	1.02534e+06	98005.1	29717.2	54196.8	9029.81	20097.1	3014.12	299233	1.91225e+06	583649	2182.12	38179.5	5380.12	1839.38
Xalvarezi	Xbirref	Xcouchianus	15.495	0	-0.0313507	2.87394e+06	191546	15426	264224	3786.25	951059	47088	84096	40487.6	1.8261e+06	76933.4	5363.75	9526	521752	3224
Xbirref	Xcouchianus	Xalvarezi	15.966	0	0.971344	2.87394e+06	951059	191546	47088	84096	15426	40487.6	5363.75	264224	1.8261e+06	521752	3786.25	76933.4	9526	3224
Xalvarezi	Xbirref	Xevelynae	20.3095	0	-0.0269451	2.96693e+06	109724	15927.4	297583	3434.88	1.03079e+06	31970.1	52993.2	25000.9	1.90644e+06	45587.9	5415.62	9757.62	588649	3062.62
Xbirref	Xevelynae	Xalvarezi	20.8424	0	0.97507	2.96693e+06	1.03079e+06	109724	31970.1	52993.2	15927.4	25000.9	5415.62	297583	1.90644e+06	588649	3434.88	45587.9	9757.62	3062.62
Xalvarezi	Xbirref	Xgordoni	11.9248	0	0.030607	2.73888e+06	320169	15021.6	244606	4486.5	895020	59098.1	108803	64955.2	1.73305e+06	126184	5527.5	9502.25	482618	3574.5
Xbirref	Xgordoni	Xalvarezi	-11.5483	1	1.0337	2.73888e+06	895020	320169	59098.1	108803	15021.6	64955.2	5527.5	244606	1.73305e+06	482618	4486.5	126184	9502.25	3574.5
Xalvarezi	Xbirref	Xhellerii	46.8922	0	-0.119379	2.91288e+06	149992	20692.4	251127	3767.62	937991	53562.6	82840.8	32492.9	1.84181e+06	61363	6031.62	13915.4	500862	3358.88
Xbirref	Xhellerii	Xalvarezi	51.8931	0	0.912101	2.91288e+06	937991	149992	53562.6	82840.8	20692.4	32492.9	6031.62	251127	1.84181e+06	500862	3767.62	61363	13915.4	3358.88
Xalvarezi	Xbirref	Xmalinche_CHIC2	18.3029	0	-0.019581	2.98376e+06	95518.4	8136.5	314548	2115.5	1.05271e+06	25264.2	45634.6	19708.5	1.92778e+06	37390.2	2874.5	4959.5	612982	1777.75
Xbirref	Xmalinche_CHIC2	Xalvarezi	18.6544	0	0.981505	2.98376e+06	1.05271e+06	95518.4	25264.2	45634.6	8136.5	19708.5	2874.5	314548	1.92778e+06	612982	2115.5	37390.2	4959.5	1777.75
Xalvarezi	Xbirref	Xmayae	59.5594	0	-0.0511337	3.07209e+06	19135.4	22668.4	334361	3638.25	1.1218e+06	22320.8	15354.6	7141.25	2.00405e+06	9553	6948.5	15779	668042	3559
Xbirref	Xmayae	Xalvarezi	62.4568	0	0.955667	3.07209e+06	1.1218e+06	19135.4	22320.8	15354.6	22668.4	7141.25	6948.5	334361	2.00405e+06	668042	3638.25	9553	15779	3559
Xalvarezi	Xbirref	Xmeyeri	20.1346	0	-0.0258427	2.97169e+06	105303	15859.9	298618	3471.62	1.03558e+06	30610.1	50567.5	23858.6	1.91082e+06	43347.6	5455.38	9746.62	590581	3110.88
Xbirref	Xmeyeri	Xalvarezi	20.6419	0	0.976017	2.97169e+06	1.03558e+06	105303	30610.1	50567.5	15859.9	23858.6	5455.38	298618	1.91082e+06	590581	3471.62	43347.6	9746.62	3110.88
Xalvarezi	Xbirref	Xmilleri	10.8079	0	0.0372168	2.66667e+06	384900	15284.3	221569	4829.88	835558	71587.2	133346	77384.8	1.67321e+06	151165	5672.62	9758.38	437173	3757.12
Xbirref	Xmilleri	Xalvarezi	-10.3901	1	1.04189	2.66667e+06	835558	384900	71587.2	133346	15284.3	77384.8	5672.62	221569	1.67321e+06	437173	4829.88	151165	9758.38	3757.12
Xalvarezi	Xbirref	Xmonticolus	15.0952	0	0.0959131	2.51654e+06	521452	15818.2	179694	5447.88	728201	94190.4	177376	103261	1.55446e+06	203316	5756.38	10285.4	354807	4065.62
Xbirref	Xmonticolus	Xalvarezi	-13.4938	1	1.13466	2.51654e+06	728201	521452	94190.4	177376	15818.2	103261	5756.38	179694	1.55446e+06	354807	5447.88	203316	10285.4	4065.62
Xalvarezi	Xbirref	Xmontezumae	13.5568	0	-0.0211051	2.9255e+06	143357	10378.6	280471	2704.62	989271	36338.8	66752.1	31292.9	1.86207e+06	60272.8	3584.88	6246.38	548034	2237.88
Xbirref	Xmontezumae	Xalvarezi	13.837	0	0.980152	2.9255e+06	989271	143357	36338.8	66752.1	10378.6	31292.9	3584.88	280471	1.86207e+06	548034	2704.62	60272.8	6246.38	2237.88
Xalvarezi	Xbirref	Xmultilineatus	13.0886	0	-0.0155982	2.96907e+06	107833	11286.1	303721	2664.38	1.0396e+06	27849.9	49033.2	23612.9	1.90966e+06	44483.5	3919.88	6787.12	595313	2316.62
Xbirref	Xmultilineatus	Xalvarezi	13.2896	0	0.985099	2.96907e+06	1.0396e+06	107833	27849.9	49033.2	11286.1	23612.9	3919.88	303721	1.90966e+06	595313	2664.38	44483.5	6787.12	2316.62
Xalvarezi	Xbirref	Xnezahuacoyotl	9.75124	0	-0.0169275	2.87616e+06	192546	10417.2	279522	3150.38	971003	42242.4	78651.2	38292.7	1.84053e+06	74346.9	3823.62	6461.62	546363	2525.12
Xbirref	Xnezahuacoyotl	Xalvarezi	9.91355	0	0.983891	2.87616e+06	971003	192546	42242.4	78651.2	10417.2	38292.7	3823.62	279522	1.84053e+06	546363	3150.38	74346.9	6461.62	2525.12
Xalvarezi	Xbirref	Xnigrensis	21.8243	0	0.06494	2.61915e+06	436160	10604.4	237902	4401.5	847937	69804.9	133974	81479.3	1.67069e+06	160815	4391.75	6974	464267	3177.75
Xbirref	Xnigrensis	Xalvarezi	-20.3086	1	1.08065	2.61915e+06	847937	436160	69804.9	133974	10604.4	81479.3	4391.75	237902	1.67069e+06	464267	4401.5	160815	6974	3177.75
Xalvarezi	Xbirref	Xpygmaeus	18.4263	0	-0.0153981	3.02934e+06	53645.4	11317.4	322284	2320.88	1.08834e+06	17709.4	28679.4	13090.7	1.95964e+06	23274.9	3771.12	6646.12	632335	2086.62
Xbirref	Xpygmaeus	Xalvarezi	18.7057	0	0.985282	3.02934e+06	1.08834e+06	53645.4	17709.4	28679.4	11317.4	13090.7	3771.12	322284	1.95964e+06	632335	2320.88	23274.9	6646.12	2086.62
Xalvarezi	Xbirref	Xsignum	55.7275	0	-0.0693318	3.02669e+06	53603.8	21201.6	303172	3480.88	1.05698e+06	31139.8	38538	13502.1	1.95179e+06	22646.5	6354.38	14030.1	605048	3269.62
Xbirref	Xsignum	Xalvarezi	59.3407	0	0.942606	3.02669e+06	1.05698e+06	53603.8	31139.8	38538	21201.6	13502.1	6354.38	303172	1.95179e+06	605048	3480.88	22646.5	14030.1	3269.62
Xalvarezi	Xbirref	Xvariatus	15.2504	0	-0.0276683	2.91497e+06	151279	15575.6	266629	3527.38	970962	41350.9	72226.2	35285.6	1.84399e+06	66532	5249.12	9471.38	526697	3040.88
Xbirref	Xvariatus	Xalvarezi	15.661	0	0.974452	2.91497e+06	970962	151279	41350.9	72226.2	15575.6	35285.6	5249.12	266629	1.84399e+06	526697	3527.38	66532	9471.38	3040.88
Xbirref	Xalvarezi	Xxiphidium	-12.3279	1	7.00532	2.28903e+06	732798	601819	118878	230570	12890.9	133352	6216.25	150237	1.36421e+06	298088	5430.5	259494	8693	4295.5
Xalvarezi	Xbirref	Xxiphidium	22.896	0	0.684196	2.28903e+06	732798	12890.9	133352	6216.25	601819	118878	230570	150237	1.36421e+06	298088	5430.5	8693	259494	4295.5
Xandersi	Xbirref	Xbirchmanni_GARC	56.3955	0	0.131628	3.87324e+06	89386.9	6234.38	105130	1190.5	263248	9404.44	13801.1	23914.6	2.69334e+06	46970.6	1051	3871.25	188368	789.5
Xbirref	Xbirchmanni_GARC	Xandersi	-47.8471	1	1.21753	3.87324e+06	263248	89386.9	9404.44	13801.1	6234.38	23914.6	1051	105130	2.69334e+06	188368	1190.5	46970.6	3871.25	789.5
Xandersi	Xbirref	Xclemenciae_F2	73.1087	0	0.37593	3.78439e+06	171319	19504.2	70239.7	2054	217271	21731.3	26694.9	50952	2.59703e+06	95494.2	2212.75	11856.8	136967	1529
Xbirref	Xclemenciae_F2	Xandersi	-29.0691	1	-1.94178	3.78439e+06	217271	171319	21731.3	26694.9	19504.2	50952	2212.75	70239.7	2.59703e+06	136967	2054	95494.2	11856.8	1529
Xandersi	Xbirref	Xcontinens	76.1992	0	0.269206	3.83371e+06	124699	13417.8	84889.6	1597.88	240225	14561.3	19018.1	40468.4	2.63261e+06	78501.6	1674.62	7974.88	157940	1191.38
Xbirref	Xcontinens	Xandersi	-48.1294	1	2.39933	3.83371e+06	240225	124699	14561.3	19018.1	13417.8	40468.4	1674.62	84889.6	2.63261e+06	157940	1597.88	78501.6	7974.88	1191.38
Xandersi	Xbirref	Xcortezi	89.8917	0	0.347491	3.78335e+06	173406	10644.5	82667.1	1653	228938	15851.6	24073.8	51433.9	2.59389e+06	101316	1475.5	6296.5	149986	1141
Xbirref	Xcortezi	Xandersi	-42.0204	1	-7.18171	3.78335e+06	228938	173406	15851.6	24073.8	10644.5	51433.9	1475.5	82667.1	2.59389e+06	149986	1653	101316	6296.5	1141
Xbirref	Xandersi	Xcouchianus	-32.1814	1	-5.0126	3.64945e+06	302656	190369	28905.2	35624.8	19576.2	58910	2513.75	83924.4	2.48358e+06	165171	2233.25	114038	12977	1721.25
Xandersi	Xbirref	Xcouchianus	70.783	0	0.647102	3.64945e+06	302656	19576.2	58910	2513.75	190369	28905.2	35624.8	83924.4	2.48358e+06	165171	2233.25	12977	114038	1721.25
Xandersi	Xbirref	Xevelynae	61.7163	0	0.331581	3.78782e+06	168764	20449.1	71966.5	2018.62	218028	24710.6	25594.2	48152.7	2.60452e+06	93434.9	2123.62	13637.1	140562	1515.12
Xbirref	Xevelynae	Xandersi	-31.1009	1	64.0587	3.78782e+06	218028	168764	24710.6	25594.2	20449.1	48152.7	2123.62	71966.5	2.60452e+06	140562	2018.62	93434.9	13637.1	1515.12
Xbirref	Xandersi	Xgordoni	-42.1036	1	1.47077	3.47815e+06	472209	175259	31573.1	42815.5	18826	53665.4	3257.5	122686	2.36177e+06	242964	2520	103368	12509	2071.25
Xandersi	Xbirref	Xgordoni	55.5803	0	0.804847	3.47815e+06	472209	18826	53665.4	3257.5	175259	31573.1	42815.5	122686	2.36177e+06	242964	2520	12509	103368	2071.25
Xbirref	Xandersi	Xhellerii	-38.5794	1	-6.45034	3.66995e+06	282129	198327	23949.1	32551	19155.2	59268.4	2504.62	89847	2.47157e+06	171188	2448.88	115196	11441.6	1739.38
Xandersi	Xbirref	Xhellerii	83.1398	0	0.651055	3.66995e+06	282129	19155.2	59268.4	2504.62	198327	23949.1	32551	89847	2.47157e+06	171188	2448.88	11441.6	115196	1739.38
Xandersi	Xbirref	Xmalinche_CHIC2	87.7137	0	0.286202	3.80035e+06	159188	9747.5	91920.5	1619	244577	13379.5	19229.8	44871.1	2.62179e+06	88301.4	1480.75	5963.25	166981	1119
Xbirref	Xmalinche_CHIC2	Xandersi	-52.5443	1	3.02416	3.80035e+06	244577	159188	13379.5	19229.8	9747.5	44871.1	1480.75	91920.5	2.62179e+06	166981	1619	88301.4	5963.25	1119
Xandersi	Xbirref	Xmayae	21.4337	0	0.0589791	3.92326e+06	41272.6	20941.2	95730.1	1610.75	272136	12714.4	7331.25	17917.4	2.72633e+06	25708.6	2406.75	12792	188903	1432.5
Xbirref	Xmayae	Xandersi	-20.0903	1	1.07166	3.92326e+06	272136	41272.6	12714.4	7331.25	20941.2	17917.4	2406.75	95730.1	2.72633e+06	188903	1610.75	25708.6	12792	1432.5
Xandersi	Xbirref	Xmeyeri	59.0962	0	0.313285	3.79549e+06	161062	20350.4	72002.2	1992.88	219538	24183.4	24523.1	45998.8	2.61089e+06	89134.2	2113.12	13618.6	140421	1507.88
Xbirref	Xmeyeri	Xandersi	-32.136	1	6.20885	3.79549e+06	219538	161062	24183.4	24523.1	20350.4	45998.8	2113.12	72002.2	2.61089e+06	140421	1992.88	89134.2	13618.6	1507.88
Xbirref	Xandersi	Xmilleri	-26.1311	1	1.1203	3.36802e+06	579838	158695	34503	48953.5	18825.4	45731.2	3695.38	150294	2.27162e+06	298016	2683.88	88069	12468.4	2252.88
Xandersi	Xbirref	Xmilleri	28.9372	0	0.911602	3.36802e+06	579838	18825.4	45731.2	3695.38	158695	34503	48953.5	150294	2.27162e+06	298016	2683.88	12468.4	88069	2252.88
Xbirref	Xandersi	Xmonticolus	0.198177	0.421453	0.999563	3.14389e+06	800307	135255	36098.4	59827	16690.9	36023.1	4567.25	208335	2.08852e+06	412104	3024.25	67636.5	10231.2	2640.5
Xandersi	Xbirref	Xmonticolus	-0.198091	0.578513	1.00044	3.14389e+06	800307	16690.9	36023.1	4567.25	135255	36098.4	59827	208335	2.08852e+06	412104	3024.25	10231.2	67636.5	2640.5
Xandersi	Xbirref	Xmontezumae	98.5339	0	0.494824	3.71664e+06	237521	12159.6	72923.8	2068.5	211634	19352.6	30064.8	71825.9	2.5253e+06	141701	1761	7280.25	132840	1392.75
Xbirref	Xmontezumae	Xandersi	-2.01922	0.978268	-0.0213684	3.71664e+06	211634	237521	19352.6	30064.8	12159.6	71825.9	1761	72923.8	2.5253e+06	132840	2068.5	141701	7280.25	1392.75
Xandersi	Xbirref	Xmultilineatus	83.7403	0	0.333836	3.78759e+06	169477	13314.6	80772.4	1808	229439	16785.6	23569.8	48851.4	2.60337e+06	95348	1769	8022.75	149663	1305.25
Xbirref	Xmultilineatus	Xandersi	-41.7754	1	-220.525	3.78759e+06	229439	169477	16785.6	23569.8	13314.6	48851.4	1769	80772.4	2.60337e+06	149663	1808	95348	8022.75	1305.25
Xbirref	Xandersi	Xnezahuacoyotl	-11.7004	1	-0.152726	3.65267e+06	301311	207968	20347.1	32210.9	12085.4	72115.9	2425.12	78974.9	2.50325e+06	156075	1902.88	131477	7299.62	1543.38
Xandersi	Xbirref	Xnezahuacoyotl	100.011	0	0.531065	3.65267e+06	301311	12085.4	72115.9	2425.12	207968	20347.1	32210.9	78974.9	2.50325e+06	156075	1902.88	7299.62	131477	1543.38
Xbirref	Xandersi	Xnigrensis	-62.1795	1	1.66408	3.30907e+06	642143	182118	26041.8	44045.8	12025.9	62642.1	3638.75	154356	2.26881e+06	306811	2384.25	113698	7468.75	2032
Xandersi	Xbirref	Xnigrensis	86.9934	0	0.778065	3.30907e+06	642143	12025.9	62642.1	3638.75	182118	26041.8	44045.8	154356	2.26881e+06	306811	2384.25	7468.75	113698	2032
Xandersi	Xbirref	Xpygmaeus	54.8109	0	0.169195	3.87316e+06	86749.2	13407.2	89605	1411	249644	12978.1	15700.2	28583.4	2.67287e+06	54644.2	1582	7981.5	167174	1078.5
Xbirref	Xpygmaeus	Xandersi	-43.6485	1	1.3436	3.87316e+06	249644	86749.2	12978.1	15700.2	13407.2	28583.4	1582	89605	2.67287e+06	167174	1411	54644.2	7981.5	1078.5
Xandersi	Xbirref	Xsignum	62.9941	0	0.254431	3.85156e+06	107078	20065.7	78662.6	1868.12	238657	17418.6	18419.4	38318.6	2.6466e+06	67350.6	2308.62	11999.9	154376	1478.12
Xbirref	Xsignum	Xandersi	-41.4968	1	2.07488	3.85156e+06	238657	107078	17418.6	18419.4	20065.7	38318.6	2308.62	78662.6	2.6466e+06	154376	1868.12	67350.6	11999.9	1478.12
Xbirref	Xandersi	Xvariatus	-26.0592	1	-0.98699	3.70028e+06	252752	200634	26544.9	30487.8	19763.2	61634.6	2370	79064.6	2.501e+06	155377	2211	119613	13011.5	1670.5
Xandersi	Xbirref	Xvariatus	78.5212	0	0.599476	3.70028e+06	252752	19763.2	61634.6	2370	200634	26544.9	30487.8	79064.6	2.501e+06	155377	2211	13011.5	119613	1670.5
