P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Xalvarezi	Xmeyeri	Xgordoni	28.3139	0	0.058133	2.69353e+06	262078	46374.1	248073	17115.1	849105	44958.8	74999.2	57495.2	1.69794e+06	99910.2	16907.8	16756.9	460303	1978.5
Xalvarezi	Xgordoni	Xmilleri	0.0382911	0.484728	-0.000142744	2.45596e+06	257814	193345	208334	47214	706810	68203.4	70121.8	68183.4	1.52004e+06	93066.2	45684.6	68381.1	363166	3213.12
Xalvarezi	Xmilleri	Xgordoni	0.0382966	0.484726	0.000142683	2.45596e+06	193345	257814	208334	47214	706810	68183.4	45684.6	68203.4	1.52004e+06	68381.1	70121.8	93066.2	363166	3213.12
Xalvarezi	Xgordoni	Xmonticolus	5.63074	8.99647e-09	0.0339091	2.32055e+06	380563	180077	176518	54311.4	617230	84114.4	105804	87357.8	1.41609e+06	139856	37430.1	63537.2	299663	3840.88
Xalvarezi	Xmonticolus	Xgordoni	5.4331	2.77556e-08	-0.0377492	2.32055e+06	180077	380563	176518	54311.4	617230	87357.8	37430.1	84114.4	1.41609e+06	63537.2	105804	139856	299663	3840.88
Xalvarezi	Xgordoni	Xmontezumae	20.4366	0	-0.080626	2.63176e+06	101560	273728	215812	17979.2	796595	70127.6	37037.6	59258	1.63813e+06	42526.4	77112.8	105216	411955	3412.12
Xalvarezi	Xmontezumae	Xgordoni	21.9614	0	0.0649226	2.63176e+06	273728	101560	215812	17979.2	796595	59258	77112.8	70127.6	1.63813e+06	105216	37037.6	42526.4	411955	3412.12
Xalvarezi	Xgordoni	Xmultilineatus	20.2126	0	-0.0628499	2.67312e+06	66291.2	274892	232751	18165.6	837695	62688.4	21666	52632	1.67894e+06	26627.8	79790.8	105651	445439	3393.5
Xalvarezi	Xmultilineatus	Xgordoni	21.4079	0	0.0528795	2.67312e+06	274892	66291.2	232751	18165.6	837695	52632	79790.8	62688.4	1.67894e+06	105651	21666	26627.8	445439	3393.5
Xalvarezi	Xgordoni	Xnezahuacoyotl	19.2632	0	-0.0649475	2.60874e+06	122256	245275	225560	29723.6	793553	64995.2	38251.8	55202.9	1.63275e+06	45002.4	66685.5	93813.8	419751	3525.12
Xalvarezi	Xnezahuacoyotl	Xgordoni	20.438	0	0.0543566	2.60874e+06	245275	122256	225560	29723.6	793553	55202.9	66685.5	64995.2	1.63275e+06	93813.8	38251.8	45002.4	419751	3525.12
Xalvarezi	Xgordoni	Xnigrensis	9.87569	0	0.0545045	2.36164e+06	355370	234961	189060	34577.5	678008	88265.1	88566.8	94075.6	1.46912e+06	127795	62267.5	90629.4	342984	3973.88
Xalvarezi	Xnigrensis	Xgordoni	9.30639	0	-0.0651589	2.36164e+06	234961	355370	189060	34577.5	678008	94075.6	62267.5	88265.1	1.46912e+06	90629.4	88566.8	127795	342984	3973.88
Xalvarezi	Xgordoni	Xpygmaeus	20.3504	0	-0.0675478	2.70531e+06	39953.6	302773	231742	8845.25	856475	66454.6	16671.9	55996.2	1.70164e+06	18114	95022	118185	452720	3451.5
Xalvarezi	Xpygmaeus	Xgordoni	21.638	0	0.0561661	2.70531e+06	302773	39953.6	231742	8845.25	856475	55996.2	95022	66454.6	1.70164e+06	118185	16671.9	18114	452720	3451.5
Xalvarezi	Xgordoni	Xsignum	40.8639	0	-0.184083	2.70812e+06	35664.4	308409	223293	7215.62	839050	75360.4	20748.9	52362.1	1.70328e+06	15665.5	91344.6	124228	441653	3266.88
Xalvarezi	Xsignum	Xgordoni	47.2168	0	0.118591	2.70812e+06	308409	35664.4	223293	7215.62	839050	52362.1	91344.6	75360.4	1.70328e+06	124228	20748.9	15665.5	441653	3266.88
Xalvarezi	Xgordoni	Xvariatus	22.2179	0	-0.0881035	2.63202e+06	99283.3	268727	216319	16416.8	787873	70192.2	39639.8	58360.4	1.63255e+06	42950.4	75848	102662	404458	2616.62
Xalvarezi	Xvariatus	Xgordoni	24.0169	0	0.069685	2.63202e+06	268727	99283.3	216319	16416.8	787873	58360.4	75848	70192.2	1.63255e+06	102662	39639.8	42950.4	404458	2616.62
Xalvarezi	Xgordoni	Xxiphidium	31.6378	0	0.542832	2.08814e+06	597542	182782	131152	50672.5	491885	109706	159257	135171	1.22577e+06	236057	37430.4	63307.1	207213	3921
Xgordoni	Xalvarezi	Xxiphidium	-4.99278	1	-0.23059	2.08814e+06	597542	491885	109706	159257	182782	131152	50672.5	135171	1.22577e+06	236057	37430.4	207213	63307.1	3921
Xalvarezi	Xhellerii	Xmalinche_CHIC2	35.4915	0	0.07598	2.83139e+06	90197.2	132114	229156	7652.5	866783	41888.9	31880.9	57287.4	1.77655e+06	39491	66045.4	54392.4	452824	3237.5
Xalvarezi	Xmalinche_CHIC2	Xhellerii	32.5731	0	-0.098412	2.83139e+06	132114	90197.2	229156	7652.5	866783	57287.4	66045.4	41888.9	1.77655e+06	54392.4	31880.9	39491	452824	3237.5
Xalvarezi	Xhellerii	Xmayae	15.9689	0	0.0272945	2.91932e+06	12086.1	144918	250669	2803	930214	34031.2	5774.12	40110.1	1.85615e+06	6536.25	73988.4	60398.6	498971	2074.38
Xalvarezi	Xmayae	Xhellerii	15.5209	0	-0.0297288	2.91932e+06	144918	12086.1	250669	2803	930214	40110.1	73988.4	34031.2	1.85615e+06	60398.6	5774.12	6536.25	498971	2074.38
Xalvarezi	Xhellerii	Xmeyeri	33.1816	0	0.0698397	2.83169e+06	89133.1	128989	229545	8107.88	867096	40813	30363.1	54983.7	1.77626e+06	39804.4	62207.6	53503.5	453101	3125.62
Xalvarezi	Xmeyeri	Xhellerii	30.6902	0	-0.0883509	2.83169e+06	128989	89133.1	229545	8107.88	867096	54983.7	62207.6	40813	1.77626e+06	53503.5	30363.1	39804.4	453101	3125.62
Xalvarezi	Xhellerii	Xmilleri	49.6502	0	0.181858	2.5583e+06	340345	100029	183580	16502.9	713933	65312.1	92496.6	91600.9	1.57788e+06	135032	42210.8	40494.8	352976	3195.25
Xalvarezi	Xmilleri	Xhellerii	38.6139	0	-0.400193	2.5583e+06	100029	340345	183580	16502.9	713933	91600.9	42210.8	65312.1	1.57788e+06	40494.8	92496.6	135032	352976	3195.25
Xalvarezi	Xhellerii	Xmonticolus	51.8099	0	0.272378	2.42506e+06	461203	84868.4	157266	20836.2	630067	78732	125801	108130	1.47899e+06	180256	31732.6	33931.1	295827	3103.12
Xalvarezi	Xmonticolus	Xhellerii	32.4154	0	-1.48949	2.42506e+06	84868.4	461203	157266	20836.2	630067	108130	31732.6	78732	1.47899e+06	33931.1	125801	180256	295827	3103.12
Xalvarezi	Xhellerii	Xmontezumae	35.4272	0	0.0848798	2.78954e+06	124886	121207	215992	10252.2	830469	45154.9	43456	61000.4	1.73486e+06	55988.4	57276.1	49231.4	423925	3121.62
Xalvarezi	Xmontezumae	Xhellerii	32.1413	0	-0.113877	2.78954e+06	121207	124886	215992	10252.2	830469	61000.4	57276.1	45154.9	1.73486e+06	49231.4	43456	55988.4	423925	3121.62
Xalvarezi	Xhellerii	Xmultilineatus	38.7081	0	0.08135	2.82514e+06	95459.2	128212	229159	8603.12	865782	40680.1	31140.1	57370.6	1.76997e+06	43032.5	62978.1	52641.5	451830	3149.38
