H.m.rosina	H.cydno	H.timareta	505.502	0	0.37453	8.45623e+09	8.02122e+08	1.01383e+09	2.08673e+08	2.38532e+08	6.54925e+08	1.00552e+08	8.86565e+07	1.65294e+08	9.18005e+08	1.31214e+08	1.58556e+08	9.82242e+07	1.32778e+08	6.71438e+06
H.m.rosina	H.timareta	H.cydno	202.809	0	3.03044	8.45623e+09	1.01383e+09	8.02122e+08	2.08673e+08	2.38532e+08	6.54925e+08	1.65294e+08	1.58556e+08	1.00552e+08	9.18005e+08	9.82242e+07	8.86565e+07	1.31214e+08	1.32778e+08	6.71438e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	432.695	0	0.307066	8.38846e+09	1.21098e+09	6.39158e+08	2.21369e+08	2.66987e+08	6.3867e+08	1.02738e+08	1.2518e+08	1.55308e+08	9.10993e+08	1.66819e+08	1.05302e+08	6.68358e+07	1.31159e+08	6.64261e+06
H.m.rosina	H.timareta	H.cydno	240.951	0	-3.89664	8.38846e+09	6.39158e+08	1.21098e+09	2.21369e+08	2.66987e+08	6.3867e+08	1.55308e+08	1.05302e+08	1.02738e+08	9.10993e+08	6.68358e+07	1.2518e+08	1.66819e+08	1.31159e+08	6.64261e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	514.497	0	0.396437	8.46924e+09	7.54268e+08	1.06255e+09	2.03247e+08	2.27251e+08	6.56367e+08	1.00735e+08	8.50227e+07	1.68068e+08	9.19682e+08	1.27909e+08	1.67039e+08	1.02063e+08	1.32817e+08	6.67788e+06
H.m.rosina	H.timareta	H.cydno	176.561	0	2.09409	8.46924e+09	1.06255e+09	7.54268e+08	2.03247e+08	2.27251e+08	6.56367e+08	1.68068e+08	1.67039e+08	1.00735e+08	9.19682e+08	1.02063e+08	8.50227e+07	1.27909e+08	1.32817e+08	6.67788e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	499.543	0	0.369145	8.42965e+09	7.94018e+08	1.05672e+09	2.10339e+08	2.43091e+08	6.49408e+08	1.01365e+08	8.73048e+07	1.65131e+08	9.14961e+08	1.30143e+08	1.59675e+08	1.01405e+08	1.32019e+08	6.78064e+06
H.m.rosina	H.timareta	H.cydno	207.236	0	3.43601	8.42965e+09	1.05672e+09	7.94018e+08	2.10339e+08	2.43091e+08	6.49408e+08	1.65131e+08	1.59675e+08	1.01365e+08	9.14961e+08	1.01405e+08	8.73048e+07	1.30143e+08	1.32019e+08	6.78064e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	532.319	0	0.417724	8.30439e+09	7.06251e+08	1.21111e+09	2.0309e+08	2.33235e+08	6.46366e+08	1.02463e+08	7.90919e+07	1.74653e+08	8.9668e+08	1.21083e+08	1.8906e+08	1.12534e+08	1.28977e+08	6.90483e+06
H.m.rosina	H.timareta	H.cydno	150.434	0	1.64996	8.30439e+09	1.21111e+09	7.06251e+08	2.0309e+08	2.33235e+08	6.46366e+08	1.74653e+08	1.8906e+08	1.02463e+08	8.9668e+08	1.12534e+08	7.90919e+07	1.21083e+08	1.28977e+08	6.90483e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	483.992	0	0.314825	8.25772e+09	9.5738e+08	9.50031e+08	2.30082e+08	2.89227e+08	6.22011e+08	1.00163e+08	9.73804e+07	1.59858e+08	8.91744e+08	1.41453e+08	1.40508e+08	9.00768e+07	1.27382e+08	6.92661e+06
H.m.rosina	H.timareta	H.cydno	261.607	0	-5.67004	8.25772e+09	9.50031e+08	9.5738e+08	2.30082e+08	2.89227e+08	6.22011e+08	1.59858e+08	1.40508e+08	1.00163e+08	8.91744e+08	9.00768e+07	9.73804e+07	1.41453e+08	1.27382e+08	6.92661e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	447.031	0	0.258298	8.1369e+09	1.09175e+09	8.97342e+08	2.53734e+08	3.42172e+08	5.92415e+08	9.93311e+07	1.02648e+08	1.53102e+08	8.76189e+08	1.50355e+08	1.20194e+08	8.41531e+07	1.23549e+08	7.19817e+06
H.m.rosina	H.timareta	H.cydno	291.352	0	-1.14746	8.1369e+09	8.97342e+08	1.09175e+09	2.53734e+08	3.42172e+08	5.92415e+08	1.53102e+08	1.20194e+08	9.93311e+07	8.76189e+08	8.41531e+07	1.02648e+08	1.50355e+08	1.23549e+08	7.19817e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	500.207	0	0.353283	8.36678e+09	8.78696e+08	9.64759e+08	2.16329e+08	2.57061e+08	6.46153e+08	1.00701e+08	9.46849e+07	1.63866e+08	9.05873e+08	1.36432e+08	1.51746e+08	9.31124e+07	1.30789e+08	6.79173e+06
H.m.rosina	H.timareta	H.cydno	226.958	0	5.90282	8.36678e+09	9.64759e+08	8.78696e+08	2.16329e+08	2.57061e+08	6.46153e+08	1.63866e+08	1.51746e+08	1.00701e+08	9.05873e+08	9.31124e+07	9.46849e+07	1.36432e+08	1.30789e+08	6.79173e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
H.m.rosina	H.cydno	H.timareta	486.242	0	0.329361	8.39002e+09	8.91019e+08	9.81874e+08	2.22822e+08	2.70567e+08	6.29391e+08	1.00106e+08	9.17208e+07	1.60374e+08	9.09696e+08	1.377e+08	1.43421e+08	9.47455e+07	1.29746e+08	6.84234e+06
H.m.rosina	H.timareta	H.cydno	247.441	0	-27.6378	8.39002e+09	9.81874e+08	8.91019e+08	2.22822e+08	2.70567e+08	6.29391e+08	1.60374e+08	1.43421e+08	1.00106e+08	9.09696e+08	9.47455e+07	9.17208e+07	1.377e+08	1.29746e+08	6.84234e+06
####
P1	Hybrid	P2	Zscore	Pvalue	Gamma	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
